epoch,train_loss,train_acc,val_loss,val_acc
1,0.470465,0.842722,0.467249,0.843651
2,0.409052,0.851019,0.366623,0.860545
3,0.366762,0.861068,0.356259,0.864249
4,0.357029,0.864853,0.346007,0.868244
5,0.347579,0.868276,0.334910,0.872092
6,0.336058,0.872099,0.321164,0.876508
7,0.323550,0.875917,0.309211,0.880344
8,0.312390,0.879515,0.299249,0.883950
9,0.302719,0.883025,0.289460,0.887857
10,0.293684,0.886623,0.280813,0.891494
11,0.285261,0.890209,0.272734,0.894973
12,0.278146,0.893163,0.267288,0.897187
13,0.272732,0.895332,0.263303,0.898701
14,0.268604,0.896920,0.259491,0.900148
15,0.265629,0.898042,0.257657,0.900746
16,0.263437,0.898827,0.255966,0.901347
17,0.262092,0.899309,0.255204,0.901599
18,0.261197,0.899630,0.254599,0.901798
19,0.260676,0.899793,0.254425,0.901872
20,0.260563,0.899840,0.254374,0.901880
